gene_callers_id	source	accession	function	e_value
11	KEGG_BRITE	ko00001!!!ko00001!!!ko01000!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00920 Sulfur metabolism [PATH:ko00920]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00270 Cysteine and methionine metabolism [PATH:ko00270]!!!Enzymes>>>2. Transferases>>>2.3  Acyltransferases>>>2.3.1  Transferring groups other than aminoacyl groups>>>2.3.1.31  homoserine O-acetyltransferase!!!Enzymes>>>2. Transferases>>>2.3  Acyltransferases>>>2.3.1  Transferring groups other than aminoacyl groups>>>2.3.1.46  homoserine O-succinyltransferase	0.0
11	Pfam	PF00561.27	alpha/beta hydrolase fold	1.2e-13
11	Pfam	PF12697.14	Alpha/beta hydrolase family	2.5e-08
12	prodigal	WP_001791710.1	YybS family protein	0
12	GENBANK_LOCUS_TAG	SAUSA300_RS00070	SAUSA300_RS00070	0
12	COG24_FUNCTION	COG4241	Uncharacterized conserved protein YybS, DUF2232 family (YybS)	5.74e-198
12	COG24_CATEGORY	S	Function unknown	0
12	Pfam	PF09991.15	Predicted membrane protein (DUF2232)	4.4e-66
13	prodigal	WP_001081634.1	cyclic-di-AMP phosphodiesterase GdpP (gdpP)	0
13	GENBANK_LOCUS_TAG	SAUSA300_RS00075	SAUSA300_RS00075	0
13	COG24_FUNCTION	COG3887	Cyclic di-AMP phosphodiesterase GdpP, contains GGDEF-like and DHH domains (GdpP)	0
13	COG24_CATEGORY	T	Signal transduction mechanisms	0
13	KOfam	K22927	cyclic-di-AMP phosphodiesterase [EC:3.1.4.59]	1.7e-251
13	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers!!!Enzymes>>>3. Hydrolases>>>3.1  Acting on ester bonds>>>3.1.4  Phosphoric-diester hydrolases>>>3.1.4.59  cyclic-di-AMP phosphodiesterase	0.0
13	Pfam	PF01368.28	DHH family, N-terminal domain	4e-24
13	Pfam	PF02272.25	DHHA1 domain	5.8e-13
13	Pfam	PF24898.3	Cyclic-di-AMP phosphodiesterase GdpP-like, GGDEF domain	1.4e-40
13	Pfam	PF21370.5	Cyclic-di-AMP phosphodiesterase GdpP-like, PAS domain	2.4e-18
14	prodigal	WP_000864305.1	50S ribosomal protein L9 (rplI)	0
14	GENBANK_LOCUS_TAG	SAUSA300_RS00080	SAUSA300_RS00080	0
14	COG24_FUNCTION	COG0359	Ribosomal protein L9 (RplI) (PDB:1VS6_BH) (PUBMED:27112601)	3.74e-97
14	COG24_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
14	COG24_PATHWAY	COG0359	Ribosome 50S subunit	3.74e-97
14	KOfam	K02939	large subunit ribosomal protein L9	3.1e-40
14	KEGG_BRITE	ko00001!!!ko03011!!!ko03011	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]!!!Ribosome>>>Ribosomal proteins>>>Mitochondria/ Chloroplast>>>Large subunit!!!Ribosome>>>Ribosomal proteins>>>Bacteria>>>Large subunit	0.0
14	Pfam	PF03948.20	Ribosomal protein L9, C-terminal domain	8.4e-29
14	Pfam	PF01281.26	Ribosomal protein L9, N-terminal domain	6.7e-23
15	prodigal	WP_000375647.1	replicative DNA helicase (dnaB)	0
15	GENBANK_LOCUS_TAG	SAUSA300_RS00085	SAUSA300_RS00085	0
15	COG24_FUNCTION	COG0305	Replicative DNA helicase (DnaB) (PDB:1B79)	0
15	COG24_CATEGORY	L	Replication, recombination and repair	0
15	KOfam	K02314	replicative DNA helicase [EC:5.6.2.3]	5.3e-188
15	KEGG_BRITE	ko00001!!!ko00001!!!ko01000!!!ko03032	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03030 DNA replication [PATH:ko03030]!!!KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112]!!!Enzymes>>>5. Isomerases>>>5.6  Isomerases altering macromolecular conformation>>>5.6.2  Enzymes altering nucleic acid conformation>>>5.6.2.3  DNA 5'-3' helicase!!!DNA replication proteins>>>Prokaryotic type>>>DNA Replication Initiation Factors>>>Initiation factors (bacterial)	0.0
15	Pfam	PF13481.13	AAA domain	2.5e-15
15	Pfam	PF00772.27	DnaB-like helicase N terminal domain	1.2e-35
15	Pfam	PF03796.22	DnaB-like helicase C terminal domain	5.9e-116
16	prodigal	WP_000095327.1	adenylosuccinate synthase	0
16	GENBANK_LOCUS_TAG	SAUSA300_RS00090	SAUSA300_RS00090	0
16	COG24_FUNCTION	COG0104	Adenylosuccinate synthase (PurA) (PDB:1ADE)	8.68e-317
16	COG24_CATEGORY	F	Nucleotide transport and metabolism	0
16	COG24_PATHWAY	COG0104	Purine biosynthesis	8.68e-317
16	KOfam	K01939	adenylosuccinate synthase [EC:6.3.4.4]	3.7e-181
16	KEGG_Module	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0.0
16	KEGG_Class	M00049	Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
16	KEGG_BRITE	ko00001!!!ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]!!!Enzymes>>>6. Ligases>>>6.3  Forming carbon-nitrogen bonds>>>6.3.4  Other carbon-nitrogen ligases>>>6.3.4.4  adenylosuccinate synthase	0.0
16	Pfam	PF00709.28	Adenylosuccinate synthetase	1.2e-183
17	prodigal	WP_000101976.1	response regulator YycF (yycF)	0
17	GENBANK_LOCUS_TAG	SAUSA300_RS00105	SAUSA300_RS00105	0
17	COG24_FUNCTION	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)	6.89e-171
17	COG24_CATEGORY	T!!!K	Signal transduction mechanisms!!!Transcription	0
17	KOfam	K02483	two-component system, OmpR family, response regulator	2.6e-75
17	KOfam	K07668	two-component system, OmpR family, response regulator VicR	6.9e-120
17	KEGG_BRITE	ko02022	Two-component system>>>OmpR family>>>Unclassified	0.0
17	KEGG_BRITE	ko00001!!!ko02022	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]!!!Two-component system>>>OmpR family>>>VicK-VicR (cell wall metabolism)	0.0
17	Pfam	PF00072.31	Response regulator receiver domain	7.8e-32
17	Pfam	PF00486.35	Transcriptional regulatory protein, C terminal	1e-30
18	prodigal	WP_000871607.1	cell wall metabolism sensor histidine kinase WalK (walK)	0
18	GENBANK_LOCUS_TAG	SAUSA300_RS00110	SAUSA300_RS00110	0
18	COG24_FUNCTION	COG5002	Sensor histidine kinase WalK (WalK) (PDB:4I5S)	0
18	COG24_CATEGORY	T	Signal transduction mechanisms	0
18	KOfam	K07652	two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]	1.1e-200
18	KEGG_BRITE	ko00001!!!ko01000!!!ko01001!!!ko02022	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.13  Protein-histidine kinases>>>2.7.13.3  histidine kinase!!!Protein kinases>>>Histidine kinases>>>OmpR family!!!Two-component system>>>OmpR family>>>VicK-VicR (cell wall metabolism)	0.0
18	Pfam	PF23846.2	WalK sensor protein kinase Chache domain	3.2e-21
18	Pfam	PF00672.31	HAMP domain	1.7e-16
18	Pfam	PF02518.32	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	1.5e-32
18	Pfam	PF00512.32	His Kinase A (phospho-acceptor) domain	3.8e-22
18	Pfam	PF00989.32	PAS fold	2.3e-09
18	Pfam	PF13188.14	PAS domain	2.4e-06
18	Pfam	PF13426.14	PAS domain	1.3e-09
19	prodigal	WP_001060131.1	two-component system activity regulator YycH (yycH)	0
19	GENBANK_LOCUS_TAG	SAUSA300_RS00115	SAUSA300_RS00115	0
19	COG24_FUNCTION	COG4863	YycH protein, regulator of the WalKR two-component signal transduction system (YycH) (PDB:2FGT)	0
19	COG24_CATEGORY	T	Signal transduction mechanisms	0
19	Pfam	PF07435.17	YycH protein	3.1e-134
20	prodigal	WP_001104172.1	two-component system regulatory protein YycI	0
20	GENBANK_LOCUS_TAG	SAUSA300_RS00120	SAUSA300_RS00120	0
20	COG24_FUNCTION	COG4853	YycI protein, regulator of the WalKR two-component signal transduction system (YycI) (PDB:2O3O)	7e-174
20	COG24_CATEGORY	T	Signal transduction mechanisms	0
20	Pfam	PF09648.16	YycI protein	1.2e-57
21	prodigal	WP_000088648.1	MBL fold metallo-hydrolase	0
21	GENBANK_LOCUS_TAG	SAUSA300_RS00125	SAUSA300_RS00125	0
21	COG24_FUNCTION	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase (PhnP) (PDB:6B9V) (PUBMED:19366688;30811189)	5.9e-193
21	COG24_CATEGORY	H!!!P	Coenzyme transport and metabolism!!!Inorganic ion transport and metabolism	0
21	Pfam	PF23023.2	Anti-Pycsar protein Apyc1	1.2e-08
21	Pfam	PF00753.34	Metallo-beta-lactamase superfamily	2.5e-19
21	Pfam	PF12706.14	Beta-lactamase superfamily domain	5.9e-21
22	prodigal	WP_000645780.1	LPXTG-anchored adenosine synthase AdsA (adsA)	0
22	GENBANK_LOCUS_TAG	SAUSA300_RS00130	SAUSA300_RS00130	0
22	COG24_FUNCTION	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family (UshA) (PDB:1HO5)	0
22	COG24_CATEGORY	F!!!V	Nucleotide transport and metabolism!!!Defense mechanisms	0
22	KOfam	K11751	5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]	3e-140
22	KEGG_Module	M00958!!!M00959	Adenine ribonucleotide degradation, AMP => Urate!!!Guanine ribonucleotide degradation, GMP => Urate	0.0
22	KEGG_Class	M00958!!!M00959	Pathway modules; Nucleotide metabolism; Purine metabolism!!!Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
22	KEGG_BRITE	ko00001!!!ko00001!!!ko00001!!!ko01000!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00240 Pyrimidine metabolism [PATH:ko00240]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00760 Nicotinate and nicotinamide metabolism [PATH:ko00760]!!!Enzymes>>>3. Hydrolases>>>3.1  Acting on ester bonds>>>3.1.3  Phosphoric-monoester hydrolases>>>3.1.3.5  5'-nucleotidase!!!Enzymes>>>3. Hydrolases>>>3.6  Acting on acid anhydrides>>>3.6.1  In phosphorus-containing anhydrides>>>3.6.1.45  UDP-sugar diphosphatase	0.0
22	Pfam	PF02872.24	5'-nucleotidase, C-terminal domain	1.1e-38
22	Pfam	PF00149.34	Calcineurin-like phosphoesterase	8.2e-13
23	prodigal	WP_000704775.1	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH (rlmH)	0
23	GENBANK_LOCUS_TAG	SAUSA300_RS00135	SAUSA300_RS00135	0
23	COG24_FUNCTION	COG1576	23S rRNA pseudoU1915 N3-methylase RlmH (RlmH) (PDB:1NS5)	2.47e-105
23	COG24_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
23	COG24_PATHWAY	COG1576	23S rRNA modification	2.47e-105
23	KOfam	K00783	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	6e-62
23	KEGG_BRITE	ko01000!!!ko03009	Enzymes>>>2. Transferases>>>2.1  Transferring one-carbon groups>>>2.1.1  Methyltransferases>>>2.1.1.177  23S rRNA (pseudouridine1915-N3)-methyltransferase!!!Ribosome biogenesis>>>Prokaryotic type>>>rRNA modification factors>>>23S rRNA modification factors	0.0
23	Pfam	PF02590.23	Predicted SPOUT methyltransferase	1.4e-61
24	prodigal	WP_000566670.1	MrcB family domain-containing protein	0
24	GENBANK_LOCUS_TAG	SAUSA300_RS00140	SAUSA300_RS00140	0
24	Pfam	PF12102.14	MrcB-like, N-terminal domain	1e-49
24	Pfam	PF13020.13	Protein NO VEIN, C-terminal	1.7e-18
25	prodigal	WP_001106057.1	IS6-like element IS257 family transposase	0
25	GENBANK_LOCUS_TAG	SAUSA300_RS00145	SAUSA300_RS00145	0
25	COG24_FUNCTION	COG3316	Transposase (or an inactivated derivative), DDE domain (Rve)	5.05e-164
25	COG24_CATEGORY	X	Mobilome: prophages, transposons	0
25	KOfam	K07498	putative transposase	1.8e-71
25	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair	0.0
25	Pfam	PF13610.13	DDE domain	3.4e-39
25	Pfam	PF00665.33	Integrase core domain	2.4e-16
26	prodigal	WP_020444595.1	hydroxymethylglutaryl-CoA synthase	0
26	GENBANK_LOCUS_TAG	SAUSA300_RS14955	SAUSA300_RS14955	0
26	COG24_FUNCTION	COG3425	3-hydroxy-3-methylglutaryl CoA synthase (PksG) (PDB:1TVZ)	2.83e-75
26	COG24_CATEGORY	I	Lipid transport and metabolism	0
26	COG24_PATHWAY	COG3425	Isoprenoid biosynthesis	2.83e-75
26	Pfam	PF08540.17	Hydroxymethylglutaryl-coenzyme A synthase C terminal	4.8e-14
27	prodigal	WP_000958858.1	glycerophosphoryl diester phosphodiesterase	0
27	GENBANK_LOCUS_TAG	SAUSA300_RS00155	SAUSA300_RS00155	0
27	COG24_FUNCTION	COG0584	Glycerophosphoryl diester phosphodiesterase (UgpQ) (PDB:1O1Z)	2.79e-177
27	COG24_CATEGORY	I	Lipid transport and metabolism	0
27	KOfam	K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	9.5e-54
27	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09103 Lipid metabolism>>>00564 Glycerophospholipid metabolism [PATH:ko00564]!!!Enzymes>>>3. Hydrolases>>>3.1  Acting on ester bonds>>>3.1.4  Phosphoric-diester hydrolases>>>3.1.4.46  glycerophosphodiester phosphodiesterase	0.0
27	Pfam	PF03009.24	Glycerophosphoryl diester phosphodiesterase family	2.4e-51
28	prodigal	WP_000872606.1	MaoC family dehydratase	0
28	GENBANK_LOCUS_TAG	SAUSA300_RS00160	SAUSA300_RS00160	0
28	COG24_FUNCTION	COG2030	Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8)	2.38e-97
28	COG24_CATEGORY	I	Lipid transport and metabolism	0
28	Pfam	PF13452.12	FAS1-like, dehydratase domain region	9.9e-09
28	Pfam	PF01575.26	MaoC like domain	8.7e-36
29	prodigal	WP_001801873.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA (mecA)	0
29	GENBANK_LOCUS_TAG	SAUSA300_RS00165	SAUSA300_RS00165	0
29	COG24_FUNCTION	COG0768	Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2) (FtsI) (PDB:6HZQ)	0
