Geneid,start,end,strand,seqname,source,feature,score,ID,Parent,Dbxref,Name,Ontology_term,gbkey,gene,go_function,go_process,inference,product,protein_id,transl_table,go_component,Note,partial,pseudo,start_range,end_range,exception
SAUSA300_RS00060,15441,15770,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000628050.1,gene-SAUSA300_RS00060,GenBank:WP_000628050.1,WP_000628050.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_498619.1,AzlD domain-containing protein,WP_000628050.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00065,16133,17101,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000186481.1,gene-SAUSA300_RS00065,GenBank:WP_000186481.1,WP_000186481.1,GO:0009086!!!GO:0004414,CDS,metX,homoserine O-acetyltransferase activity|0004414||IEA,methionine biosynthetic process|0009086||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_498620.1,homoserine O-acetyltransferase MetX,WP_000186481.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00070,17392,18330,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001791710.1,gene-SAUSA300_RS00070,GenBank:WP_001791710.1,WP_001791710.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_498621.1,YybS family protein,WP_001791710.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00075,18345,20312,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001081634.1,gene-SAUSA300_RS00075,GenBank:WP_001081634.1,WP_001081634.1,NA,CDS,gdpP,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_498622.1,cyclic-di-AMP phosphodiesterase GdpP,WP_001081634.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00080,20309,20755,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000864305.1,gene-SAUSA300_RS00080,GenBank:WP_000864305.1,WP_000864305.1,GO:0006412!!!GO:0003735!!!GO:0005840,CDS,rplI,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_498623.1,50S ribosomal protein L9,WP_000864305.1,11,ribosome|0005840||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00085,20787,22187,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000375647.1,gene-SAUSA300_RS00085,GenBank:WP_000375647.1,WP_000375647.1,GO:0006260!!!GO:0003677!!!GO:0003678!!!GO:0005524,CDS,dnaB,DNA binding|0003677||IEA!!!DNA helicase activity|0003678||IEA!!!ATP binding|0005524||IEA,DNA replication|0006260||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_498624.1,replicative DNA helicase,WP_000375647.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00090,22465,23748,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000095327.1,gene-SAUSA300_RS00090,GenBank:WP_000095327.1,WP_000095327.1,GO:0006164!!!GO:0004019!!!GO:0005525,CDS,NA,adenylosuccinate synthase activity|0004019||IEA!!!GTP binding|0005525||IEA,purine nucleotide biosynthetic process|0006164||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_498625.1,adenylosuccinate synthase,WP_000095327.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00105,24952,25653,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000101976.1,gene-SAUSA300_RS00105,GenBank:WP_000101976.1,WP_000101976.1,NA,CDS,yycF,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_498626.1,response regulator YycF,WP_000101976.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00110,25666,27492,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000871607.1,gene-SAUSA300_RS00110,GenBank:WP_000871607.1,WP_000871607.1,GO:0007165!!!GO:0016310!!!GO:0000155!!!GO:0016020,CDS,walK,phosphorelay sensor kinase activity|0000155||IEA,signal transduction|0007165||IEA!!!phosphorylation|0016310||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_498627.1,cell wall metabolism sensor histidine kinase WalK,WP_000871607.1,11,membrane|0016020||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00115,27485,28819,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001060131.1,gene-SAUSA300_RS00115,GenBank:WP_001060131.1,WP_001060131.1,NA,CDS,yycH,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001060131.1,two-component system activity regulator YycH,WP_001060131.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00120,28820,29608,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001104172.1,gene-SAUSA300_RS00120,GenBank:WP_001104172.1,WP_001104172.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_498629.1,two-component system regulatory protein YycI,WP_001104172.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00125,29998,30798,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000088648.1,gene-SAUSA300_RS00125,GenBank:WP_000088648.1,WP_000088648.1,GO:0016787!!!GO:0046872,CDS,NA,hydrolase activity|0016787||IEA!!!metal ion binding|0046872||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_498630.1,MBL fold metallo-hydrolase,WP_000088648.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00130,31026,33344,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000645780.1,gene-SAUSA300_RS00130,GenBank:WP_000645780.1,WP_000645780.1,NA,CDS,adsA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_498631.1,LPXTG-anchored adenosine synthase AdsA,WP_000645780.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00135,33712,34191,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000704775.1,gene-SAUSA300_RS00135,GenBank:WP_000704775.1,WP_000704775.1,GO:0006364!!!GO:0008168,CDS,rlmH,methyltransferase activity|0008168||IEA,rRNA processing|0006364||IEA,COORDINATES: similar to AA sequence:RefSeq:WP_020363758.1,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,WP_000704775.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00140,34513,35769,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000566670.1,gene-SAUSA300_RS00140,GenBank:WP_000566670.1,WP_000566670.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001569336.1,MrcB family domain-containing protein,WP_000566670.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00145,35877,36551,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001106057.1,gene-SAUSA300_RS00145,GenBank:WP_001106057.1,WP_001106057.1,GO:0006313!!!GO:0004803,CDS,NA,transposase activity|0004803||IEA,DNA transposition|0006313||IEA,COORDINATES: similar to AA sequence:RefSeq:WP_001105942.1,IS6-like element IS257 family transposase,WP_001106057.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00155,37813,38556,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000958858.1,gene-SAUSA300_RS00155,GenBank:WP_000958858.1,WP_000958858.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001830227.1,glycerophosphoryl diester phosphodiesterase,WP_000958858.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00160,38653,39081,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000872606.1,gene-SAUSA300_RS00160,GenBank:WP_000872606.1,WP_000872606.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000872606.1,MaoC family dehydratase,WP_000872606.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00165,39127,41136,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001801873.1,gene-SAUSA300_RS00165,GenBank:WP_001801873.1,WP_001801873.1,GO:0046677!!!GO:0008658,CDS,mecA,penicillin binding|0008658||IEA,response to antibiotic|0046677||IEA,COORDINATES: similar to AA sequence:RefSeq:WP_001801873.1,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,WP_001801873.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00170,41233,42219,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001549960.1,gene-SAUSA300_RS00170,GenBank:WP_001549960.1,WP_001549960.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001549960.1,beta-lactam sensor/signal transducer MecR1,WP_001549960.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00175,42209,42451,+,NC_007793.1,Protein Homology,CDS,.,cds-SAUSA300_RS00175,gene-SAUSA300_RS00175,NA,NA,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_002505894.1,type I restriction enzyme endonuclease domain-containing protein,NA,11,NA,incomplete%3B partial in the middle of a contig%3B missing N-terminus,true,true,".,42209",NA,NA
SAUSA300_RS00180,42442,44052,-,NC_007793.1,Protein Homology,CDS,.,cds-SAUSA300_RS00180,gene-SAUSA300_RS00180,NA,NA,GO:0004803,CDS,NA,transposase activity|0004803||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_011274780.1,IS1182 family transposase,NA,11,NA,incomplete%3B partial in the middle of a contig%3B missing N-terminus,true,true,NA,"44052,.",NA
SAUSA300_RS00185,44101,44607,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001092189.1,gene-SAUSA300_RS00185,GenBank:WP_001092189.1,WP_001092189.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001092170.1,DUF1643 domain-containing protein,WP_001092189.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00190,44622,44933,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000700851.1,gene-SAUSA300_RS00190,GenBank:WP_000700851.1,WP_000700851.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_002505017.1,DUF960 family protein,WP_000700851.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00195,45020,45370,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000849672.1,gene-SAUSA300_RS00195,GenBank:WP_000849672.1,WP_000849672.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_002502216.1,SAUGI family uracil-DNA glycosylase inhibitor,WP_000849672.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00200,45892,47520,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001186608.1,gene-SAUSA300_RS00200,GenBank:WP_001186608.1,WP_001186608.1,GO:0006310!!!GO:0009009,CDS,ccrB,site-specific recombinase activity|0009009||IEA,DNA recombination|0006310||IEA,COORDINATES: similar to AA sequence:RefSeq:WP_001186610.1,cassette chromosome recombinase CcrB,WP_001186608.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00205,47542,48891,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000815640.1,gene-SAUSA300_RS00205,GenBank:WP_000815640.1,WP_000815640.1,GO:0006310!!!GO:0009009,CDS,ccrA,site-specific recombinase activity|0009009||IEA,DNA recombination|0006310||IEA,COORDINATES: similar to AA sequence:RefSeq:WP_000815654.1,cassette chromosome recombinase CcrA,WP_000815640.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00210,49125,50912,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000122620.1,gene-SAUSA300_RS00210,GenBank:WP_000122620.1,WP_000122620.1,GO:0043138,CDS,cch1,3'-5' DNA helicase activity|0043138||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001573627.1,cassette chromosome replicative helicase,WP_000122620.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00215,50912,51202,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001036438.1,gene-SAUSA300_RS00215,GenBank:WP_001036438.1,WP_001036438.1,NA,CDS,ssb,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001036438.1,cassette chromosome ssDNA-binding protein,WP_001036438.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00220,51341,52390,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000613248.1,gene-SAUSA300_RS00220,GenBank:WP_000613248.1,WP_000613248.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000613248.1,hypothetical protein,WP_000613248.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00225,53118,54608,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000554504.1,gene-SAUSA300_RS00225,GenBank:WP_000554504.1,WP_000554504.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000554504.1,RNA-binding domain-containing protein,WP_000554504.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00235,54981,56299,-,NC_007793.1,Protein Homology,CDS,.,cds-SAUSA300_RS00235,gene-SAUSA300_RS00235,NA,NA,NA,CDS,cstB,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_002487247.1,persulfide dioxygenase-sulfurtransferase CstB,NA,11,NA,frameshifted,NA,true,NA,NA,NA
SAUSA300_RS00240,56489,56860,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001549968.1,gene-SAUSA300_RS00240,GenBank:WP_001549968.1,WP_001549968.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001549968.1,HNH endonuclease,WP_001549968.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00245,56989,57609,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000673114.1,gene-SAUSA300_RS00245,GenBank:WP_000673114.1,WP_000673114.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000673114.1,hypothetical protein,WP_000673114.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00250,59098,60063,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000027972.1,gene-SAUSA300_RS00250,GenBank:WP_000027972.1,WP_000027972.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000027972.1,HNH endonuclease,WP_000027972.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00255,60160,60351,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000291518.1,gene-SAUSA300_RS00255,GenBank:WP_000291518.1,WP_000291518.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000291518.1,hypothetical protein,WP_000291518.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00260,60443,60772,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000124775.1,gene-SAUSA300_RS00260,GenBank:WP_000124775.1,WP_000124775.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_002470711.1,hypothetical protein,WP_000124775.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00265,60849,61208,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000432279.1,gene-SAUSA300_RS00265,GenBank:WP_000432279.1,WP_000432279.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_002434158.1,hypothetical protein,WP_000432279.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00270,61738,62588,-,NC_007793.1,Protein Homology,CDS,.,cds-SAUSA300_RS00270,gene-SAUSA300_RS00270,NA,NA,GO:0004803,CDS,NA,transposase activity|0004803||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_086558285.1,IS3 family transposase,NA,11,NA,frameshifted,NA,true,NA,NA,NA
SAUSA300_RS00275,63100,63597,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000776433.1,gene-SAUSA300_RS00275,GenBank:WP_000776433.1,WP_000776433.1,GO:0016747,CDS,NA,acyltransferase activity%2C transferring groups other than amino-acyl groups|0016747||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_012656763.1,GNAT family N-acetyltransferase,WP_000776433.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00280,64095,65222,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000857159.1,gene-SAUSA300_RS00280,GenBank:WP_000857159.1,WP_000857159.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_002470719.1,zinc-dependent alcohol dehydrogenase family protein,WP_000857159.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00285,65477,65701,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001015130.1,gene-SAUSA300_RS00285,GenBank:WP_001015130.1,WP_001015130.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001832432.1,hypothetical protein,WP_001015130.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00290,65715,66218,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001092187.1,gene-SAUSA300_RS00290,GenBank:WP_001092187.1,WP_001092187.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_012086592.1,DUF1643 domain-containing protein,WP_001092187.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00295,66234,66545,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000700852.1,gene-SAUSA300_RS00295,GenBank:WP_000700852.1,WP_000700852.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_002505017.1,DUF960 family protein,WP_000700852.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00300,66632,66982,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000859159.1,gene-SAUSA300_RS00300,GenBank:WP_000859159.1,WP_000859159.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_002502216.1,SAUGI family uracil-DNA glycosylase inhibitor,WP_000859159.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00305,67790,68790,+,NC_007793.1,Protein Homology,CDS,.,cds-SAUSA300_RS00305,gene-SAUSA300_RS00305,NA,NA,GO:0004803,CDS,NA,transposase activity|0004803||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_086558285.1,IS3 family transposase,NA,11,NA,frameshifted%3B incomplete%3B partial in the middle of a contig%3B missing N-terminus,true,true,".,67790",NA,NA
SAUSA300_RS00310,68890,69819,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000036757.1,gene-SAUSA300_RS00310,GenBank:WP_000036757.1,WP_000036757.1,GO:0006520!!!GO:0008804,CDS,arcC,carbamate kinase activity|0008804||IEA,amino acid metabolic process|0006520||IEA,COORDINATES: similar to AA sequence:RefSeq:WP_002498813.1,carbamate kinase,WP_000036757.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00315,69839,70837,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000793596.1,gene-SAUSA300_RS00315,GenBank:WP_000793596.1,WP_000793596.1,GO:0042450!!!GO:0004585,CDS,argF,ornithine carbamoyltransferase activity|0004585||IEA,arginine biosynthetic process via ornithine|0042450||IEA,COORDINATES: similar to AA sequence:RefSeq:WP_002452600.1,ornithine carbamoyltransferase,WP_000793596.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00320,70875,71564,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000272781.1,gene-SAUSA300_RS00320,GenBank:WP_000272781.1,WP_000272781.1,GO:0003677!!!GO:0030552,CDS,NA,DNA binding|0003677||IEA!!!cAMP binding|0030552||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_002485352.1,Crp/Fnr family transcriptional regulator,WP_000272781.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00325,71606,73027,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000344142.1,gene-SAUSA300_RS00325,GenBank:WP_000344142.1,WP_000344142.1,GO:0006527!!!GO:1903826!!!GO:0043858!!!GO:0005886,CDS,arcD,arginine:ornithine antiporter activity|0043858||IEA,arginine catabolic process|0006527||IEA!!!L-arginine transmembrane transport|1903826||IEA,COORDINATES: similar to AA sequence:RefSeq:WP_000344142.1,arginine-ornithine antiporter,WP_000344142.1,11,plasma membrane|0005886||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00330,73113,74348,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000249804.1,gene-SAUSA300_RS00330,GenBank:WP_000249804.1,WP_000249804.1,GO:0019546!!!GO:0016990,CDS,arcA,arginine deiminase activity|0016990||IEA,arginine deiminase pathway|0019546||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_501419.1,arginine deiminase,WP_000249804.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00335,74617,75063,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000711814.1,gene-SAUSA300_RS00335,GenBank:WP_000711814.1,WP_000711814.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000711814.1,arginine repressor,WP_000711814.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS00340,75565,75996,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000475805.1,gene-SAUSA300_RS00340,GenBank:WP_000475805.1,WP_000475805.1,GO:0042802,CDS,NA,identical protein binding|0042802||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000475805.1,universal stress protein,WP_000475805.1,11,NA,NA,NA,NA,NA,NA,NA
